CUSTOMER_ID,AGE,ACCOUNT_AGE_DAYS,TOTAL_ORDERS,TOTAL_SPEND,AVG_ORDER_VALUE,DAYS_SINCE_LAST_ORDER,BROWSE_SESSIONS,PAGES_PER_SESSION,AVG_SESSION_DURATION_MIN,CART_ABANDONMENT_RATE,WISHLIST_ITEMS,COUPON_USAGE_COUNT,REVIEW_COUNT,AVG_REVIEW_RATING,RETURN_RATE,MOBILE_ORDER_PCT,LOYALTY_POINTS
EC00026,47,757,15,1736.4,115.76,217,24,2.93,6.2,0.23428,5,6,4,3.8,0.064166,0.472641,2804
EC00027,69,1345,12,294.75,24.56,345,17,6.82,5.4,0.342667,3,3,1,4.5,0.075758,0.757355,11577
EC00028,52,287,15,1195.9,79.73,79,20,4.76,8.02,0.120807,4,5,2,4.2,0.180314,0.586879,5658
EC00029,62,582,13,2373.28,182.56,68,20,14.01,14.44,0.400666,3,0,1,3.2,0.119772,0.233877,12423
EC00030,26,1305,5,451.67,90.33,236,19,10.41,16.83,0.046172,4,4,0,4.6,0.051313,0.465154,2657
EC00031,37,153,11,1097.13,99.74,191,21,7.09,17.47,0.387502,8,1,0,4.3,0.07397,0.458797,6061
EC00032,28,714,11,1795.73,163.25,324,17,10.07,12.37,0.151308,5,4,3,3.4,0.348062,0.511521,6970
EC00033,30,766,9,767.42,85.27,122,19,11.21,10.1,0.143278,4,2,2,3.2,0.012936,0.695714,7462
EC00034,49,1527,15,964.9,64.33,4,21,7.92,7.25,0.530813,6,1,3,3.6,0.205936,0.272054,7760
EC00035,61,1573,12,1164.23,97.02,362,21,6.17,12.65,0.278307,8,3,0,3.8,0.13524,0.304607,4003
EC00036,41,1351,14,254.87,18.21,316,22,1.01,8.62,0.138302,6,3,4,2.7,0.14601,0.361455,11070
EC00037,18,1173,12,279.51,23.29,273,24,10.71,14.65,0.437386,7,1,0,4.2,0.148091,0.684642,3519
EC00038,59,1578,5,2602.21,520.44,3,19,3.93,12.57,0.225076,5,3,2,5.0,0.064718,0.659503,6847
EC00039,27,275,9,584.67,64.96,140,24,7.79,3.83,0.514368,3,5,1,3.4,0.191462,0.257529,10957
EC00040,65,1517,10,1106.91,110.69,55,13,8.6,9.38,0.075558,3,8,2,4.3,0.127402,0.178843,11057
EC00041,26,1965,13,974.41,74.95,341,24,7.35,8.71,0.317286,8,1,2,3.8,0.065953,0.542955,13295
EC00042,54,88,9,694.81,77.2,342,17,6.65,4.02,0.398799,10,4,0,3.2,0.210882,0.570566,13631
EC00043,37,664,11,879.38,79.94,149,20,5.8,7.48,0.109585,8,4,1,4.4,0.071298,0.170035,14357
EC00044,53,1559,8,868.58,108.57,208,26,12.08,28.94,0.07983,6,7,3,1.5,0.054117,0.616288,7139
EC00045,46,1256,9,1522.78,169.2,134,14,5.15,13.83,0.153858,7,3,0,4.7,0.2688,0.456657,7498
EC00046,25,362,13,791.65,60.9,358,17,15.39,6.87,0.182799,7,4,2,4.1,0.171248,0.64072,8584
EC00047,28,1271,18,2363.63,131.31,55,16,4.13,,0.155785,6,3,4,3.8,0.262277,0.309949,1859
EC00048,70,1970,10,1203.87,120.39,158,22,4.18,5.17,0.448374,2,3,5,4.2,0.26935,0.348192,3122
EC00049,57,653,8,395.43,49.43,296,23,7.5,7.98,0.314203,5,6,0,3.5,0.041302,0.727594,4361
EC00050,56,1130,15,1606.33,107.09,49,24,6.52,8.77,0.20219,4,7,0,4.8,0.03021,0.335598,102
EC00051,64,510,9,1338.25,148.69,335,16,3.44,6.04,0.174299,4,2,1,3.1,0.337091,0.574151,6711
EC00052,27,1912,9,3214.24,357.14,48,19,5.99,11.83,0.27364,3,3,2,3.0,0.108814,0.596363,10289
EC00053,70,1115,11,5065.61,460.51,254,16,8.44,10.9,0.388632,1,2,3,4.0,0.03423,0.472925,10263
EC00054,36,1633,10,1650.18,165.02,66,25,12.32,12.49,0.505242,7,1,1,3.2,0.078778,0.435793,7560
EC00055,25,500,7,1158.37,165.48,307,16,2.12,17.22,0.049792,5,4,0,4.1,0.331979,0.66303,12346
EC00056,57,1340,13,776.85,59.76,49,26,7.21,6.04,0.104463,3,2,2,2.3,0.10838,0.303091,5810
EC00057,33,1244,11,214.3,19.48,299,27,4.38,9.33,0.086721,2,3,0,3.7,0.154595,0.648074,12520
EC00058,62,684,11,657.78,59.8,328,25,6.74,3.73,0.02333,7,3,2,2.4,0.319922,0.258018,11746
EC00059,18,289,12,574.52,47.88,64,20,5.67,16.08,0.433527,7,4,1,3.5,0.263863,0.529297,8103
EC00060,70,567,10,477.12,47.71,286,25,3.26,15.14,0.147783,4,4,2,3.4,0.184612,0.577175,5057
EC00061,60,1771,14,2707.11,193.36,197,20,5.79,10.11,0.06034,3,2,4,4.0,0.111071,0.616954,7031
EC00062,30,816,12,1499.19,124.93,47,23,7.65,15.03,0.290859,0,4,2,3.6,0.244259,0.372549,9754
EC00063,35,784,18,1601.64,88.98,212,25,5.57,18.52,0.348905,3,1,2,1.9,0.148382,0.509823,5135
EC00064,29,187,13,1505.83,115.83,284,15,4.77,11.55,0.145609,4,3,2,4.3,0.258685,0.416644,8303
EC00065,69,1665,15,1301.21,86.75,327,18,3.37,14.31,0.405987,5,2,1,4.3,0.141969,0.463609,1134
EC00066,33,583,10,438.17,43.82,74,17,4.58,14.32,0.313437,7,0,0,,0.030886,0.279145,1739
EC00067,51,214,6,1016.06,169.34,99,19,3.07,2.41,0.631254,4,2,1,4.3,0.087575,0.588479,5143
EC00068,47,1827,16,3573.1,223.32,90,21,1.47,3.57,0.230255,2,1,0,4.1,0.350129,0.122841,14989
EC00069,42,1767,12,1702.29,141.86,216,18,3.18,18.13,0.153201,4,1,1,3.5,0.084846,0.288512,14832
EC00070,54,1092,13,1027.18,79.01,302,19,6.91,12.73,0.643369,10,4,2,4.3,0.325793,0.701125,9266
EC00071,37,1742,9,1231.16,136.8,201,22,2.23,,0.3799,9,2,1,4.0,0.111579,0.492915,4958
EC00072,68,900,9,1146.96,127.44,360,18,7.71,5.6,0.235518,9,2,3,4.2,0.030914,0.616764,11915
EC00073,53,828,9,1151.11,,75,20,4.28,8.73,0.046582,6,4,2,3.3,0.062048,0.147127,11340
EC00074,48,160,11,2643.87,240.35,169,15,6.5,6.96,0.346895,4,3,1,4.4,0.073413,0.494858,3246
EC00075,28,1698,15,1577.43,105.16,127,17,1.0,2.54,0.207437,6,4,1,3.2,0.165178,0.202755,10892
EC00076,69,373,11,1132.41,102.95,308,20,2.12,7.32,0.207652,4,1,2,3.5,0.007009,0.137605,4503
EC00077,57,681,18,1743.14,96.84,318,22,7.21,23.37,0.212805,4,1,3,4.6,0.059683,0.762709,8856
EC00078,38,1770,10,413.42,41.34,179,19,7.87,28.9,0.301536,6,2,2,4.1,0.10817,0.367781,7784
EC00079,45,1293,13,1241.21,95.48,107,25,1.13,11.22,0.714897,7,1,3,5.0,0.123888,0.691311,6532
EC00080,26,1824,7,1617.79,231.11,226,19,9.37,12.81,0.536231,7,3,4,3.7,0.024636,0.435669,3035
EC00081,40,1703,6,388.95,64.82,248,22,7.72,5.39,0.11713,7,3,2,2.7,0.111871,0.496092,6655
EC00082,44,1835,12,1465.98,122.16,81,14,4.56,6.68,0.318239,3,3,1,5.0,0.171414,0.368647,11779
EC00083,69,1474,12,1773.03,147.75,169,18,14.99,8.46,0.027541,5,4,1,3.4,0.192449,0.705632,478
EC00084,41,746,12,1425.91,118.83,271,24,9.22,15.61,0.402376,4,2,3,3.2,0.096907,0.581191,12905
EC00085,64,419,16,1944.03,121.5,14,26,7.27,17.27,0.177746,5,4,4,3.5,0.085766,0.428539,6747
EC00086,65,86,12,1862.9,155.24,54,9,4.65,8.62,0.17545,4,2,0,4.3,0.076743,0.434557,7103
EC00087,55,1261,9,503.19,55.91,205,25,7.96,8.13,0.387535,3,4,2,3.7,0.130737,0.393978,8659
EC00088,40,46,11,1076.22,97.84,126,16,4.86,8.05,0.197274,7,5,3,4.0,0.19437,0.453121,2358
EC00089,27,1602,13,1071.12,82.39,125,15,5.77,9.61,0.320231,7,3,2,4.9,0.14864,0.349223,3848
EC00090,63,1524,15,1086.17,72.41,353,19,1.99,20.13,0.273628,2,1,5,3.2,0.143088,0.641327,739
EC00091,20,1548,11,435.56,39.6,271,22,2.92,18.36,0.148374,9,0,1,3.3,0.137375,0.505459,14391
EC00092,36,1577,12,2904.7,242.06,291,19,12.25,12.35,0.574102,3,3,1,3.4,0.291533,0.666341,12649
EC00093,65,1609,9,2632.8,292.53,192,13,4.19,25.8,0.393295,0,2,1,4.0,0.295347,0.469754,3724
EC00094,46,252,11,2504.21,227.66,255,28,9.19,10.14,0.21081,2,3,2,3.8,0.293756,0.900052,13690
EC00095,29,843,11,667.48,60.68,20,20,8.87,5.37,0.307414,0,4,2,3.9,0.021652,0.61435,14203
EC00096,28,1055,7,918.51,131.22,200,30,1.0,9.36,0.307371,5,3,3,3.9,0.302196,0.3285,8476
EC00097,67,320,13,2719.67,209.21,337,25,8.13,12.7,0.405281,3,6,2,4.7,0.204625,0.764685,1600
EC00098,48,1455,12,1935.45,161.29,216,25,5.59,17.15,0.364786,4,2,3,5.0,0.13686,0.5858,9899
EC00099,53,258,13,947.58,72.89,154,16,5.66,7.05,0.252144,4,7,1,3.7,0.122628,0.302403,7374
EC00100,46,417,16,1856.11,116.01,85,17,8.17,6.1,0.197937,3,2,6,4.5,0.150593,0.676173,9723
EC00101,21,1587,11,680.66,61.88,306,18,2.59,15.68,0.150858,9,2,3,3.2,0.226863,0.698045,761
EC00102,37,1861,15,1835.67,122.38,263,18,10.84,4.84,0.245589,3,4,0,4.2,0.299502,0.892873,5059
EC00103,38,1562,7,846.62,120.95,134,21,4.5,,0.292805,2,4,3,4.9,0.062526,0.224298,12086
EC00104,65,918,14,539.83,38.56,130,22,6.51,4.05,0.518041,10,4,2,5.0,0.219863,0.463837,9434
EC00105,32,539,8,4939.63,617.45,59,19,12.69,12.53,0.254773,5,4,0,3.2,0.030777,0.406597,5870
EC00106,23,94,6,2657.6,442.93,133,19,4.77,7.3,0.179892,7,2,4,2.0,0.064317,0.319573,3614
EC00107,23,1586,6,871.69,145.28,13,19,2.26,8.3,0.202044,5,2,3,2.9,0.146813,0.683677,12448
EC00108,69,1319,12,2879.99,240.0,53,17,8.47,15.67,0.251377,5,3,3,3.1,0.129929,0.494568,667
EC00109,24,43,12,1111.62,92.64,73,21,5.57,15.53,0.123912,8,4,3,3.4,0.058785,0.31727,560
EC00110,42,1411,10,1755.37,175.54,172,26,4.53,16.04,0.019373,8,1,0,4.2,0.280673,0.735884,1195
EC00111,57,100,11,1725.81,156.89,143,19,6.6,14.48,0.674467,3,0,2,3.9,0.261497,0.691221,7140
EC00112,55,1649,8,1171.04,146.38,317,24,9.67,8.9,0.216159,5,1,2,4.5,0.067679,0.282636,10700
EC00113,64,1987,18,1071.24,59.51,249,14,10.56,7.76,0.209104,3,6,2,4.1,0.471385,0.602993,163
EC00114,25,810,11,986.95,89.72,101,31,7.27,11.1,0.097181,7,1,0,2.6,0.061728,0.492211,7188
EC00115,55,1867,9,918.77,102.09,311,16,9.48,22.72,0.316387,8,1,2,4.0,0.071567,0.333799,11964
EC00116,22,204,12,1833.38,152.78,113,22,3.86,,0.149578,4,1,2,5.0,0.089757,0.622752,6194
EC00117,70,424,15,526.74,35.12,27,14,3.26,25.48,0.165309,3,3,2,3.5,0.160636,0.180782,4399
EC00118,41,1376,15,829.71,55.31,80,33,3.94,12.66,0.316006,2,3,2,2.1,0.181149,0.575968,3701
EC00119,53,596,12,2569.52,214.13,351,19,2.82,4.27,0.223388,5,1,3,4.6,0.010049,0.502282,14521
EC00120,33,1886,10,1309.78,130.98,295,22,3.52,9.1,0.195748,6,2,1,4.4,0.058839,0.508596,12044
EC00121,52,1696,7,785.54,112.22,63,15,3.09,4.09,0.196126,3,2,5,4.3,0.085933,0.501879,3692
EC00122,21,1912,10,539.33,53.93,337,17,12.77,21.11,0.263154,5,2,1,4.1,0.044579,0.522939,8560
EC00123,36,363,10,2620.69,262.07,221,10,6.2,9.79,0.324858,6,3,1,4.7,0.153699,0.520527,9414
EC00124,31,1078,12,800.69,,156,18,8.49,4.46,0.08078,2,6,2,4.4,0.02987,0.507009,2928
EC00125,64,1663,11,1127.08,102.46,40,21,4.24,9.07,0.246206,9,5,1,3.2,0.108594,0.098113,6690
EC00126,21,671,7,1143.26,163.32,125,23,5.97,16.84,0.16353,3,5,3,2.6,0.031726,0.155137,9121
EC00127,64,282,14,2017.98,144.14,67,28,1.0,12.12,0.798581,3,4,3,3.9,0.167958,0.343489,2191
EC00128,55,593,15,1174.56,78.3,165,18,6.94,8.41,0.719724,6,0,0,4.8,0.148098,0.196376,6336
EC00129,47,440,13,2627.84,202.14,151,25,7.95,12.76,0.270696,3,2,0,2.7,0.117164,0.442078,12361
EC00130,40,552,15,492.95,32.86,132,24,3.06,11.68,0.376699,1,2,2,4.6,0.109724,0.25323,9892
EC00131,39,1857,4,462.9,115.72,188,15,5.53,4.83,0.362531,7,2,0,2.5,0.035749,0.749818,2802
EC00132,39,631,10,724.54,,8,15,1.93,24.93,0.411881,5,3,4,4.8,0.47401,0.255847,7323
EC00133,35,1527,7,934.03,133.43,215,19,10.49,18.61,0.28306,9,1,2,3.0,0.296943,0.623736,11350
EC00134,41,1359,10,795.74,79.57,188,18,6.22,16.1,0.109969,3,2,3,2.6,0.029364,0.610344,9677
EC00135,61,1934,9,983.25,109.25,156,22,4.92,9.18,0.214908,3,1,1,3.3,0.089297,0.388524,2017
EC00136,48,275,13,1226.38,94.34,182,19,2.23,21.43,0.505369,7,2,4,3.2,0.079492,0.254073,13966
EC00137,54,922,11,750.26,68.21,205,25,6.09,15.51,0.395678,4,4,0,,0.097632,0.41154,11229
EC00138,25,371,5,456.64,91.33,140,27,9.67,20.84,0.163018,2,1,1,3.2,0.027526,0.736111,8099
EC00139,38,1849,13,945.45,72.73,226,17,1.4,5.55,0.176273,6,5,3,3.8,0.083327,0.614509,10470
EC00140,45,183,12,2778.57,,278,22,8.17,10.67,0.271739,3,2,4,3.6,0.138991,0.459327,3161
EC00141,29,1084,5,750.9,150.18,282,13,1.0,23.8,0.55381,7,2,2,3.7,0.168888,0.35758,3905
EC00142,23,1874,13,1869.04,143.77,136,18,9.27,21.39,0.486513,9,3,1,4.2,0.417708,0.532604,2534
EC00143,67,1471,13,912.4,70.18,106,18,1.26,4.98,0.285224,3,4,2,3.7,0.212126,0.741163,8194
EC00144,40,1165,12,1729.82,144.15,303,16,7.62,24.03,0.35976,4,5,3,3.6,0.094558,0.599209,9702
EC00145,43,1519,17,2924.99,172.06,173,19,5.93,8.91,0.018987,8,3,2,3.0,0.040378,0.399725,2300
EC00146,36,1077,8,840.66,105.08,359,26,7.2,22.72,0.336777,5,1,2,4.3,0.265129,0.802818,6311
EC00147,31,1464,14,1177.93,84.14,172,25,1.86,10.4,0.423555,6,2,1,3.5,0.190243,0.267664,1510
EC00148,56,1226,8,128.77,16.1,316,22,4.12,12.63,0.174239,5,4,2,5.0,0.16413,0.567756,11464
EC00149,21,1402,16,954.25,59.64,147,22,5.56,10.34,0.259316,3,5,2,4.7,0.096776,0.506367,6504
EC00150,32,387,13,1424.54,109.58,354,17,13.44,6.64,0.299218,4,3,1,4.2,0.254355,0.512133,1254
EC00151,67,1475,6,835.15,139.19,70,20,10.52,8.63,0.38551,5,2,4,3.1,0.15021,0.427,13069
EC00152,41,325,12,1151.05,95.92,221,24,4.03,11.94,0.233792,11,1,2,4.8,0.068565,0.414378,13738
EC00153,70,1599,12,1057.04,88.09,111,19,3.93,8.04,0.129819,3,5,8,3.0,0.031904,0.729577,5772
EC00154,31,1687,14,1496.42,106.89,234,21,3.95,19.25,0.374045,4,4,3,3.3,0.153223,0.394299,7845
EC00155,65,1958,19,2070.21,108.96,22,15,11.65,22.37,0.223696,5,3,3,5.0,0.079884,0.646916,2538
EC00156,67,848,8,740.25,92.53,311,23,3.65,10.95,0.155073,8,5,2,3.9,0.15893,0.57033,590
EC00157,42,1445,11,2110.0,191.82,215,18,2.42,11.75,0.665719,4,1,3,4.9,0.0224,0.599973,14622
EC00158,38,1645,9,1408.46,156.5,24,14,2.74,18.76,0.174492,4,1,2,3.6,0.100478,0.264024,7286
EC00159,18,1807,16,1286.24,80.39,93,13,3.05,10.52,0.188211,5,5,2,4.2,0.392501,0.643266,13985
EC00160,70,1137,13,655.76,50.44,153,26,3.6,7.35,0.366954,6,3,1,2.2,0.03961,0.333432,2620
EC00161,65,425,13,1391.06,107.0,329,13,3.15,24.34,0.428533,1,3,4,4.2,0.315746,0.681164,6458
EC00162,68,311,13,478.11,36.78,242,16,8.88,8.75,0.091547,4,0,1,2.6,0.216003,0.686446,1811
EC00163,47,1812,14,1462.62,104.47,180,24,1.41,11.25,0.264353,4,3,4,4.3,0.262702,0.521559,2972
EC00164,71,903,20,899.43,44.97,149,27,5.02,7.57,0.375238,5,3,3,3.9,0.060917,0.497149,13511
EC00165,29,1112,18,1319.86,73.33,121,16,1.83,21.88,0.069101,7,2,3,3.6,0.278029,0.764081,8547
EC00166,58,1476,10,1703.45,170.34,307,20,6.59,10.99,0.137695,6,5,1,3.8,0.0614,0.428822,10441
EC00167,45,1026,13,1424.93,109.61,281,21,6.45,11.85,0.538474,3,3,4,3.8,0.223789,0.41072,8414
EC00168,63,1760,13,883.21,67.94,239,26,2.92,6.2,0.103108,2,3,1,5.0,0.148512,0.380822,12493
EC00169,51,1174,10,387.96,38.8,107,23,4.87,10.68,0.220748,9,3,2,4.7,0.251903,0.4189,10189
EC00170,42,1872,20,1600.77,80.04,247,30,4.06,14.1,0.062216,3,2,2,3.4,0.48618,0.56105,1278
EC00171,54,700,14,901.85,64.42,227,12,5.77,12.27,0.386483,7,0,3,4.8,0.01141,0.748968,3528
EC00172,56,1058,13,1063.43,81.8,297,19,7.24,13.35,0.030488,5,3,1,4.6,0.157124,0.250319,2472
EC00173,27,987,9,941.98,104.66,85,21,1.51,3.81,0.263424,4,4,3,3.7,0.387556,0.676476,14655
EC00174,70,688,20,2600.46,130.02,14,9,7.09,8.97,0.184933,4,3,0,4.0,0.125679,0.428611,3190
EC00175,21,393,7,4121.08,588.73,136,20,4.48,2.78,0.335517,4,7,2,5.0,0.085155,0.757927,6320
EC00176,61,146,13,1727.72,132.9,42,26,1.57,13.03,0.135245,3,3,1,4.7,0.176264,0.858398,12520
EC00177,19,1988,10,528.38,52.84,86,13,2.64,13.44,0.33237,6,5,3,3.3,0.124368,0.689757,1766
EC00178,33,497,18,1619.96,90.0,131,8,3.89,9.39,0.299094,4,5,2,3.2,0.26044,0.63078,14522
EC00179,22,483,12,1240.57,103.38,28,16,7.05,19.46,0.415614,2,4,1,3.5,0.128631,0.633079,2752
EC00180,22,270,16,1085.39,67.84,329,17,1.47,19.35,0.451232,6,5,1,4.2,0.243454,0.334745,14934
EC00181,54,1524,7,663.7,94.81,133,20,6.63,10.47,0.538946,6,2,2,4.0,0.028942,0.171159,5979
EC00182,36,355,13,1386.42,106.65,43,16,9.34,2.78,0.146259,10,1,0,4.6,0.175909,0.318492,10482
EC00183,69,1744,15,865.44,,293,20,7.74,4.9,0.267004,6,3,3,3.4,0.292189,0.530438,696
EC00184,32,1662,20,2062.75,103.14,319,23,6.98,11.79,0.34909,3,9,1,3.3,0.347705,0.56456,5573
EC00185,46,1550,15,1391.67,92.78,293,18,4.4,3.33,0.67375,3,3,2,,0.126464,0.678707,6312
EC00186,35,975,10,986.27,98.63,60,9,2.22,5.05,0.348036,6,0,6,3.2,0.112361,0.788317,3170
EC00187,41,893,5,739.39,147.88,304,14,6.33,8.86,0.209668,2,4,1,4.8,0.057333,0.517135,13337
EC00188,64,210,6,575.17,95.86,299,18,7.55,8.59,0.338363,7,5,2,2.8,0.078425,0.652066,6140
EC00189,70,625,12,422.05,35.17,88,16,1.61,25.77,0.063271,6,8,3,3.1,0.299744,0.124036,148
EC00190,34,1885,13,1819.82,139.99,200,21,2.16,17.15,0.250025,4,0,3,4.1,0.044411,0.561684,13753
EC00191,24,1261,9,1055.61,117.29,85,17,3.98,11.03,0.260321,8,6,1,3.0,0.168811,0.461328,14431
EC00192,25,356,11,1269.76,115.43,54,22,3.09,15.63,0.368002,6,4,0,3.7,0.088122,0.424093,14017
EC00193,38,1169,9,819.57,91.06,268,23,13.72,9.66,0.493382,3,2,0,2.7,0.144546,0.208266,4165
EC00194,28,759,12,1278.34,106.53,239,22,4.31,14.92,0.044196,1,2,2,4.0,0.116658,0.52731,9544
EC00195,60,1964,14,1553.15,110.94,179,15,6.76,8.02,0.303604,5,1,2,2.5,0.265651,0.49327,6960
EC00196,50,88,6,2099.76,349.96,159,10,2.44,22.05,0.239029,8,5,1,4.0,0.038769,0.42914,915
EC00197,61,1732,14,2919.6,208.54,285,22,5.05,4.55,0.284017,8,3,2,5.0,0.329065,0.474728,12440
EC00198,68,1868,19,1493.6,78.61,345,12,2.32,1.31,0.299081,4,0,1,3.6,0.054321,0.858399,3624
EC00199,57,1365,8,2779.26,347.41,24,22,4.48,11.66,0.147261,3,4,1,3.5,0.178947,0.666339,2117
EC00200,63,883,8,596.45,74.56,107,14,6.67,3.78,0.474603,7,6,2,3.2,0.076547,0.295095,4380
EC00201,41,906,12,1218.0,101.5,14,13,7.68,8.54,0.320932,5,1,0,3.6,0.439289,0.47112,8401
EC00202,40,1891,11,2155.2,195.93,111,23,2.83,14.65,0.023023,8,0,6,4.5,0.233458,0.203572,13649
EC00203,39,1601,11,998.76,,163,20,5.1,9.23,0.234718,7,5,5,3.3,0.142109,0.239494,1538
EC00204,44,1775,13,1096.94,84.38,88,17,4.17,25.32,0.161891,8,10,0,4.3,0.022498,0.498776,5651
EC00205,30,1583,14,960.63,68.62,52,20,1.53,9.1,0.517525,5,5,2,5.0,0.116438,0.288513,11603
EC00206,20,630,12,1673.93,139.49,244,14,9.16,9.22,0.329579,12,3,3,4.5,0.157733,0.816034,10163
EC00207,58,1021,8,2273.48,284.18,144,13,8.49,12.61,0.002045,5,5,3,4.7,0.159868,0.558367,9327
EC00208,35,1708,9,957.63,106.4,363,20,3.79,7.11,0.534594,9,2,0,4.7,0.316835,0.728567,2060
EC00209,19,1861,12,970.3,80.86,18,21,8.73,20.24,0.375052,3,4,1,4.6,0.023321,0.668695,11658
EC00210,43,1521,14,738.26,52.73,282,17,3.88,10.2,0.103098,6,2,0,4.9,0.137994,0.68556,5785
EC00211,20,236,10,912.41,91.24,105,21,8.38,8.03,0.476495,5,2,5,5.0,0.362034,0.446285,8269
EC00212,34,610,11,1008.35,91.67,155,24,12.62,,0.194277,3,1,4,5.0,0.141956,0.164443,7801
EC00213,68,1243,12,724.65,60.39,343,17,6.57,5.28,0.387527,3,2,2,4.4,0.066138,0.648481,7843
EC00214,20,1086,14,1041.66,74.4,299,23,6.44,11.77,0.125433,5,1,1,3.6,0.013169,0.428017,11379
EC00215,42,765,13,1153.76,88.75,307,16,6.78,8.04,0.085337,9,1,3,3.3,0.086373,0.469024,11438
EC00216,33,645,9,1217.13,135.24,304,17,7.09,16.84,0.318248,4,3,2,3.7,0.084743,0.512558,6700
EC00217,47,64,18,562.33,31.24,123,20,3.18,21.78,0.183927,7,4,1,3.8,0.153143,0.360518,6394
EC00218,24,1344,19,2356.4,124.02,44,14,10.36,23.41,0.130384,6,1,5,4.4,0.042406,0.647891,1923
EC00219,46,302,15,1942.24,129.48,232,14,2.53,16.88,0.361841,2,3,3,4.0,0.036247,0.472708,4489
EC00220,60,603,9,1761.0,195.67,54,14,5.73,10.99,0.101142,6,1,4,2.9,0.219004,0.712412,8767
EC00221,40,1939,16,2727.27,170.45,47,23,6.64,9.95,0.664407,3,3,2,2.7,0.026487,0.75492,10985
EC00222,70,1802,17,967.43,,92,16,10.74,7.43,0.062174,3,3,4,,0.117137,0.826152,13603
EC00223,66,1414,12,1002.53,83.54,23,16,1.18,11.89,0.275899,5,3,3,4.7,0.048688,0.648474,11607
EC00224,38,1915,11,1322.47,120.22,237,22,2.88,,0.057944,5,3,1,3.9,0.070066,0.674837,2361
EC00225,43,1642,16,4481.74,280.11,146,24,5.4,4.37,0.456557,2,3,3,3.9,0.020099,0.475615,8205
EC00226,51,1237,10,1219.65,121.96,36,20,10.64,14.06,0.237935,8,3,1,5.0,0.035846,0.511859,2735
